,idx,nid
218,139523,"['4052237', '4044458', '4045195', '4072760', '4062260', '4063011', '4060749', '4056755', '4070429', '4069151']"
219,133856,"['4110995', '4106142', '4106030', '4100975', '4205393', '4367848', '4509911', '4242828', '4356505', '4294565']"
220,100960,"['3793504', '2790783', '3418931', '4084999', '4045544', '4081087', '4106569']"
221,133057,"['4003993', '4168740', '3994105', '3929613', '3911274', '4391695']"
222,92064,"['4073662', '4065066', '4368083', '4126596', '4033944', '4040016', '4048864', '4024687', '4032958', '3975216']"
223,100808,"['4130695', '4126609', '4153541', '4126604', '4126606', '4197790']"
224,121662,"['3830026', '4089445', '4105621', '3427078', '4169058', '4529457', '4512413', '4124112']"
226,128265,"['3928293', '4717820', '3814166', '3823055', '3815975', '3819274', '4631152', '4012093', '3868718', '3816263']"
228,93795,"['4225704', '3821993', '4438238', '4304513']"
230,133000,"['4250730', '4215853', '4560838', '4246066', '4401226', '4261637', '4305642', '4263631', '4726481', '4782805']"
231,130755,"['4116796', '4115908', '4103395', '4128067', '4116597', '4111832', '4105259', '4249024', '4102062', '4136142']"
232,133161,"['3852055', '3859759', '3867039', '3901872']"
234,51822,"['1633864', '2218707', '1712266', '4711320']"
235,114265,"['4162597', '4162259', '4157695', '4153891', '4164544', '4160857', '4165111', '4182092', '4229669', '4203926']"
237,98438,"['3890992', '3873750', '3701997', '3874918', '3872556', '3871414', '3742525', '3873017', '3872785', '3732194']"
238,122009,"['3815130', '4370163', '3827578', '4365177']"
239,138419,"['4658052', '4276107', '4351558']"
240,104478,"['3766699', '3769478', '3774189', '3867525', '4399968', '3805623', '4373667', '3820133', '4751987', '3736171']"
241,114241,"['3822520', '3879835', '3876694', '4297591', '3968548', '4570513', '4445417']"
242,127768,"['3874876', '3887923', '3884184', '3902319', '3882126', '3870919', '3860349', '3859318', '3891776', '3868763']"
243,115238,"['3846463', '4587248', '3178131', '3841885']"
245,129682,"['4237495', '4097191', '4093365', '4070129', '4145702', '4067456', '4384274', '4375693']"
246,139631,"['3963009', '4105900', '4277712']"
247,134953,"['3911323', '3890807', '3913974', '3948259', '3915946', '3907167', '3927012']"
248,118952,"['4061968', '4059681', '4064237', '4090334', '4086507', '4064577', '4075170', '4534097', '4205516', '4097896']"
249,114266,"['4445358', '4764938', '4764939', '4764937']"
250,136700,"['3868598', '3874300', '4159476', '4706963']"
256,118361,"['3993505', '3793600', '4326944', '4322893', '4129080', '3782085', '4262549', '3925771', '3940979', '4765209']"
257,47360,"['3885542', '3885404', '3881098', '3880943', '3892168', '4740580']"
258,113955,"['4245895', '3835013', '3802593', '3833055', '4256038', '3955403', '3783557', '4723976', '4663533', '4774850']"
259,113909,"['3872438', '3892904', '3888294']"
261,124290,"['3860188', '3778283', '3688816', '3849273', '3859928', '3866237', '3842554', '3837202', '3820335', '3857438']"
262,99148,"['3919508', '3855128', '3855191', '4030218', '3860879', '3858932', '4467883', '3874565', '3859819', '3874064']"
263,129683,"['3926732', '4263657', '3943614', '3934836', '3934680', '3927377', '3926320', '3937014']"
265,118408,"['4106869', '3954152', '3901671', '3914512', '3940415', '3949310', '4111133', '3897152', '3899421', '3928657']"
266,121367,"['4144111', '4157365', '3897162', '4176251', '4189143', '4172374']"
267,102272,"['3940107', '3931995', '3945155', '3960659', '3944127', '3943204', '3940421', '3946679', '3943212', '3939820']"
268,128258,"['4150567', '4126191', '4130654', '4160385', '4141664', '4136043', '4134956', '4129916', '4128963', '4260660']"
270,11353,"['14358', '2437823', '3883133', '3894760', '3997085', '4119789', '3890601']"
274,74027,"['3743179', '3684609', '3744041', '3745529', '3689275', '3682122', '3719693', '3679074', '3619649', '3746431']"
275,144436,"['4097040', '4089609', '4092098', '4093083', '4093485', '4091964', '4097745']"
276,108697,"['3796307', '4153062', '3929626', '4255291', '4397096', '4705704']"
277,88477,"['4624638', '4597108', '4764246', '4764245', '4764244', '4798249']"
279,120141,"['4181715', '4152806', '4098913', '4084181', '4062911', '4053556', '4155806', '4116657', '4095113', '4213012']"
281,65551,"['1621021', '2266083', '2254275', '2251460', '703280', '823132', '4123750']"
282,134830,"['4102895', '4096637', '4513843', '4757132']"
283,142112,"['4153581', '4036168', '4030189', '4775340']"
284,118395,"['3814538', '3759098', '3761515', '3769029', '3767621', '3793207', '3779586', '3769643', '3782976', '3767910']"
287,102862,"['3882592', '3857794', '4778124', '4795413']"
288,124844,"['3909570', '4258640', '3939521', '3919815', '3906254', '4142992', '3925907', '3924160', '3928727', '3920982']"
290,38522,"['540260', '2496330', '148531', '574526']"
291,133075,"['3933809', '3931499', '4002223', '4060150', '3924793', '4000685', '4166755', '4273991', '4134616', '4597739']"
292,50584,"['4532086', '3618426', '4768454', '4780497']"
294,145479,"['4119788', '4254585', '4122807', '4233415']"
295,123688,"['3871553', '3860926', '3855318', '3794279', '3752482', '3749574', '3743609', '3741926', '3676027', '4446608']"
296,101957,"['4427384', '4754913', '4762574']"
298,127321,"['3950267', '3941837', '3974643', '3991673', '3970897', '3970249', '3969625', '3960696', '3958139', '4002421']"
299,130914,"['4049763', '4067986', '4047182', '4173910', '4062500', '4766622']"
300,121124,"['3692750', '3692254', '3706483', '3708565', '3819501', '3857785']"
301,127982,"['3865471', '3893350', '3948956']"
302,143262,"['4086796', '4114315', '4128948']"
304,91881,"['3807587', '3746845', '3795198', '3781194', '3807504', '4345078']"
305,116112,"['3414557', '3415179', '3530260']"
307,120102,"['3780509', '3783434', '3713555', '3743759', '3743960', '3760055', '3680398', '3713703', '3732925', '3743134']"
308,117789,"['3776012', '3776711', '3837578', '4570150', '3779775', '3795340', '4057691', '3791824', '3771831', '3753908']"
309,140668,"['4035062', '4075359', '4243073', '4753341']"
310,117779,"['4078288', '4041576', '3998333', '4044206', '4320490', '4004550']"
311,73510,"['2451412', '2453913', '4728589']"
313,123269,"['3799953', '3799544', '3782644', '3779958', '3768455', '3811436', '3806363', '3803799', '3802625', '3795612']"
315,106715,"['3835521', '3807901', '3816612', '3857781']"
316,130376,"['4087066', '4519698', '4180418', '4120864', '4246021', '4571053', '4352930', '4763920']"
317,137876,"['4112090', '4119631', '4119644', '4765960']"
318,109650,"['4166632', '4378599', '4278021', '4305510', '4293865']"
319,130943,"['4085626', '4087484', '4070844', '4064319', '4062108', '4112815', '4104793', '4099610', '4087834', '4079465']"
320,113230,"['3901555', '3913338', '3903007', '3895457', '4140473', '4767695', '3903137', '3892836', '4386007', '4064894']"
321,123284,"['3934282', '3908385', '3882231', '3871473', '4283799', '3917211', '3884571', '4706407', '3932489', '4252710']"
322,103381,"['3902588', '3901659', '3901658', '3886441', '3942278', '3930111', '3914426', '3888041', '3879573', '3883099']"
323,143314,"['4056605', '4269192', '4055966']"
324,145421,"['4233426', '4301156', '4539381', '4544268', '4165253', '4178645', '4158939', '4184042', '4549384', '4336569']"
326,124840,"['3891642', '3888123', '3887952', '3886788', '3885543', '3911149', '3889124', '4106432', '3982010', '3945577']"
327,101662,"['3837831', '3848427', '3853097', '3846764', '3855181', '3855485', '4487835']"
330,143291,"['4255012', '4080210', '4253912', '4257324', '4071025', '4080418', '4173058']"
332,100675,"['3753941', '3760886', '3757732', '3756765', '3758777', '3758376', '3757502', '3762613', '3761103', '3765447']"
333,122654,"['3650986', '3656332', '4047631', '3648954', '4083420', '4555355']"
334,139676,"['4047130', '4036106', '4083030', '3918863', '4072977', '4046715']"
335,114277,"['3925766', '3925240', '3935230', '3923412', '4044238', '3918150', '3924388', '3938560', '3939824', '3959291']"
336,122145,"['4046094', '4161409', '3892144', '4101958']"
341,129128,"['3775478', '3743779', '3773843', '3910228', '4217888']"
342,112415,"['3198684', '3572240', '4226690', '4071027', '4138991', '4400347', '4342266']"
343,113348,"['3797000', '3796788', '3811097', '3808340', '3807794', '3797740', '3793168', '3810523', '3801881', '3800812']"
344,98904,"['4028448', '4040878', '4037483', '4037047', '4030860', '4039385', '4033358', '4036015', '4028845', '4040427']"
345,107781,"['3911519', '3805042', '4422222', '4256896', '3942167', '3930324', '3779159', '3782210', '3783908', '3827637']"
