,idx,nid
91,62285,"[4209842, 4207804, 4274601, 4258160, 4175481, 4174747, 4176472, 4175634, 4171760, 4176001]"
92,145379,"[4269865, 4189075, 4271446, 4734777, 4666234]"
93,125209,"[4447636, 4393441, 4375604, 4400936, 4387710, 4386665, 4717877, 4671462, 4762294]"
94,99746,"[4328586, 4334144, 4585512, 4688556]"
95,121772,"[4340682, 4387266, 4386905, 4555545]"
96,149174,"[4611499, 4383599, 4372433, 4371465, 4478996, 4372640, 4374492, 4390735, 4608254, 4381939]"
97,144109,"[4278113, 4447543, 4263977, 4346862, 4436704, 4300209, 4364469, 4742266, 4786210]"
98,145336,"[4179296, 4232488, 4202526, 4341599]"
99,141675,"[4423410, 4421760, 4424359, 4432357, 4430799, 4717845]"
100,134135,"[4203333, 4198730, 4192967, 4208807, 4261772]"
101,149645,"[4284602, 4275471, 4289295, 4286755, 4258629, 4270975]"
102,137884,"[4339107, 4292272, 4623774, 4327035, 4303576, 4322442, 4327239]"
103,71974,"[2332116, 2301079, 4057778, 4226924, 4251430, 4225277, 4249806, 4105908, 4261040, 4257878]"
104,150117,"[4285880, 4282294, 4284402, 4634047]"
105,146944,"[4383630, 4392580, 4387264, 4384079, 4387094, 4447469]"
106,144338,"[4244615, 4340543, 4332497, 4083868, 4309682, 4330266, 4328603, 4327995, 4323553]"
107,148656,"[4250807, 4262117, 4253645, 4252903, 4253622, 4265091]"
108,154313,"[4366464, 4365661, 4373993, 4367871, 4370606]"
109,121061,"[4239546, 4365254, 4263305, 4263641, 4732773, 4238278, 4246113, 4262646, 4470370, 4242889]"
110,52995,"[2305661, 2306077, 4763740, 2304906, 2536595, 3686187, 3653703, 4351246]"
111,145316,"[4174338, 4184513, 4183071, 4563957, 4288313, 4178618, 4174653]"
112,99351,"[3055805, 4350082, 4349627, 4349629]"
113,140868,"[4274839, 4337289, 4359209, 4350369, 4591435, 4364453, 4418979, 4303602]"
114,138243,"[4350848, 4327549, 4524724, 4350665, 4282223, 4331615, 4440247, 4675827]"
115,144253,"[4349942, 4296191, 4300355]"
116,149596,"[4425976, 4334780, 4336514]"
117,150591,"[4353500, 4349482, 4740328]"
118,150376,"[4536923, 4616382, 4569769, 4470806, 4454089, 4622075, 4454260, 4422403, 4477805, 4593282]"
119,147301,"[4293471, 4294866, 4718100, 4327667, 4350666, 4256212, 4273710, 4268256, 4371654]"
120,107374,"[4189656, 4243606, 4235011, 4196970, 4191922, 4235873, 4164264, 4164423, 4168978, 4171000]"
121,144772,"[4344708, 4357058, 4351596, 4343446, 4342592, 4358189, 4349364, 4742360, 4652201]"
122,113344,"[4311434, 4311396, 4284720, 4286038, 4315659, 4316682, 4330631, 4330863, 4329968, 4315849]"
123,137987,"[4248344, 4248000, 4246609, 4246708, 4255731, 4708058, 4777575, 4784760]"
124,146311,"[4317872, 4310109, 4352225, 4350922, 4350877, 4350527, 4347684, 4321980, 4321847, 4320725]"
125,155541,"[4394213, 4400071, 4395335, 4528746, 4500742, 4631286]"
126,154055,"[4440807, 4565809, 4431073, 4428542, 4439798, 4702738, 4662083, 4774886]"
127,126058,"[3967474, 4257655, 4449631, 3841731, 3987411, 3972737, 4297232, 4317627, 4537368]"
128,137951,"[4418970, 4417702, 4393465]"
129,140718,"[4253643, 4255120, 4257951, 4722464, 4248362, 4247959, 4246498, 4250553, 4247817, 4249159]"
130,122133,"[4468819, 4344080, 4343548, 4263819, 4304115, 4272314, 4685236, 4750110, 4209784, 4213322]"
131,149590,"[4342161, 4760603, 4272529, 4296374, 4679827]"
132,140741,"[4397777, 4356296, 4337206, 4339186, 4381823, 4354547, 4549360, 4401208]"
133,42240,"[4425338, 4433642, 4427605, 4417459, 4437850, 4777581]"
134,152610,"[4575057, 4309487, 4312843, 4317938, 4481010]"
135,153405,"[4436987, 4563369, 4375617, 4375621, 4509984]"
